2022-10-28 21:29:23,188 INFO    MainThread:1523254 [wandb_setup.py:_flush():68] Configure stats pid to 1523254
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_setup.py:_flush():68] Loading settings from /home/stephen/.config/wandb/settings
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_setup.py:_flush():68] Loading settings from /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/settings
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Thesis/viz_display_audit.py', 'program': 'viz_display_audit.py'}
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:_log_setup():476] Logging user logs to /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/run-20221028_212923-2qjef064/logs/debug.log
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:_log_setup():477] Logging internal logs to /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/run-20221028_212923-2qjef064/logs/debug-internal.log
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:init():516] calling init triggers
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:init():569] starting backend
2022-10-28 21:29:23,189 INFO    MainThread:1523254 [wandb_init.py:init():573] setting up manager
2022-10-28 21:29:23,196 INFO    MainThread:1523254 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-28 21:29:23,201 INFO    MainThread:1523254 [wandb_init.py:init():580] backend started and connected
2022-10-28 21:29:23,206 INFO    MainThread:1523254 [wandb_init.py:init():658] updated telemetry
2022-10-28 21:29:23,223 INFO    MainThread:1523254 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-28 21:29:23,488 INFO    MainThread:1523254 [wandb_run.py:_on_init():2000] communicating current version
2022-10-28 21:29:23,587 INFO    MainThread:1523254 [wandb_run.py:_on_init():2004] got version response 
2022-10-28 21:29:23,587 INFO    MainThread:1523254 [wandb_init.py:init():728] starting run threads in backend
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_run.py:_console_start():1980] atexit reg
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_init.py:init():765] run started, returning control to user process
2022-10-28 21:29:28,500 INFO    MainThread:1523254 [wandb_run.py:_config_callback():1160] config_cb None None {}
