2022-10-29 15:24:08,899 INFO    MainThread:1540598 [wandb_setup.py:_flush():68] Configure stats pid to 1540598
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_setup.py:_flush():68] Loading settings from /home/stephen/.config/wandb/settings
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_setup.py:_flush():68] Loading settings from /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/settings
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'Thesis/viz_display_audit.py', 'program': 'viz_display_audit.py'}
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:_log_setup():476] Logging user logs to /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/run-20221029_152408-2h78av00/logs/debug.log
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:_log_setup():477] Logging internal logs to /home/stephen/Projects/Learned-Frustum-Proposals/Thesis/wandb/run-20221029_152408-2h78av00/logs/debug-internal.log
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:init():516] calling init triggers
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:init():569] starting backend
2022-10-29 15:24:08,900 INFO    MainThread:1540598 [wandb_init.py:init():573] setting up manager
2022-10-29 15:24:08,907 INFO    MainThread:1540598 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-10-29 15:24:08,912 INFO    MainThread:1540598 [wandb_init.py:init():580] backend started and connected
2022-10-29 15:24:08,917 INFO    MainThread:1540598 [wandb_init.py:init():658] updated telemetry
2022-10-29 15:24:08,939 INFO    MainThread:1540598 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-10-29 15:24:09,205 INFO    MainThread:1540598 [wandb_run.py:_on_init():2000] communicating current version
2022-10-29 15:24:09,335 INFO    MainThread:1540598 [wandb_run.py:_on_init():2004] got version response 
2022-10-29 15:24:09,335 INFO    MainThread:1540598 [wandb_init.py:init():728] starting run threads in backend
2022-10-29 15:24:14,360 INFO    MainThread:1540598 [wandb_run.py:_console_start():1980] atexit reg
2022-10-29 15:24:14,360 INFO    MainThread:1540598 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-10-29 15:24:14,360 INFO    MainThread:1540598 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-10-29 15:24:14,360 INFO    MainThread:1540598 [wandb_run.py:_redirect():1925] Redirects installed.
2022-10-29 15:24:14,361 INFO    MainThread:1540598 [wandb_init.py:init():765] run started, returning control to user process
2022-10-29 15:24:14,362 INFO    MainThread:1540598 [wandb_run.py:_config_callback():1160] config_cb None None {}
2022-10-29 15:24:22,191 WARNING MsgRouterThr:1540598 [router.py:message_loop():77] message_loop has been closed
